date,bet_id,sport,event,event_id,market_type,bet_type,selection,line,odds,true_probability,ev_pct,stake,stake_pct,edge_score,history_penalty_pct,notes
2026-04-09,401803606-spread-carolina-hurricanes-1-5,NHL,Carolina Hurricanes at Chicago Blackhawks,401803606,spread,Carolina Hurricanes -1.5,away,-1.5,+120,49.20%,8.23%,17.50,1.72%,99,0.00%,Auto projected margin: -2.92 vs market +1.5.
2026-04-09,401803607-spread-colorado-avalanche-1-5,NHL,Calgary Flames at Colorado Avalanche,401803607,spread,Colorado Avalanche -1.5,home,-1.5,-120,57.46%,5.34%,16.35,1.60%,96,0.00%,Auto projected margin: 4.08 vs market -1.5.
2026-04-09,401811021-total-under-247-5,NBA,Chicago Bulls at Washington Wizards,401811021,total,Under 247.5,under,U247.5,-105,54.87%,7.12%,19.08,1.87%,97,0.00%,Auto total projection: 228.04 vs market 247.5.
2026-04-09,401811025-moneyline-los-angeles-lakers-moneyline,NBA,Los Angeles Lakers at Golden State Warriors,401811025,moneyline,Los Angeles Lakers moneyline,away,ML,+160,41.18%,7.07%,11.27,1.11%,100,0.00%,"Auto model leans Los Angeles Lakers on win rate, venue split, and core team strength."
2026-04-10,401811036-total-under-248-5,NBA,Memphis Grizzlies at Utah Jazz,401811036,total,Under 248.5,under,U248.5,-110,55.49%,5.94%,15.55,1.44%,97,0.00%,Auto total projection: 229.83 vs market 248.5.
2026-04-10,401814876-total-under-8-5,MLB,Los Angeles Angels at Cincinnati Reds,401814876,total,Under 8.5,under,U8.5,+102,53.01%,7.08%,16.53,1.54%,73,0.00%,Auto total projection: 6.21 vs market 8.5.
2026-04-10,401814877-moneyline-arizona-diamondbacks-moneyline,MLB,Arizona Diamondbacks at Philadelphia Phillies,401814877,moneyline,Arizona Diamondbacks moneyline,away,ML,+153,44.69%,13.06%,20.31,1.89%,75,0.00%,"Auto model leans Arizona Diamondbacks on win rate, venue split, and core team strength."
2026-04-10,401814881-moneyline-minnesota-twins-moneyline,MLB,Minnesota Twins at Toronto Blue Jays,401814881,moneyline,Minnesota Twins moneyline,away,ML,+129,48.12%,10.20%,18.81,1.75%,75,0.00%,"Auto model leans Minnesota Twins on win rate, venue split, and core team strength."
2026-04-10,401814887-total-over-8-5,MLB,Washington Nationals at Milwaukee Brewers,401814887,total,Over 8.5,over,O8.5,-105,54.52%,6.44%,16.08,1.49%,72,0.00%,Auto total projection: 11.21 vs market 8.5.
2026-04-10,401814888-moneyline-colorado-rockies-moneyline,MLB,Colorado Rockies at San Diego Padres,401814888,moneyline,Colorado Rockies moneyline,away,ML,+148,45.43%,12.67%,20.36,1.89%,76,0.00%,"Auto model leans Colorado Rockies on win rate, venue split, and core team strength."
2026-04-13,401803635-moneyline-carolina-hurricanes-moneyline,NHL,Carolina Hurricanes at Philadelphia Flyers,401803635,moneyline,Carolina Hurricanes moneyline,away,ML,+136,47.66%,12.48%,21.81,2.05%,100,0.00%,"Auto model leans Carolina Hurricanes on win rate, venue split, and core team strength."
2026-04-13,401803637-moneyline-minnesota-wild-moneyline,NHL,Minnesota Wild at St. Louis Blues,401803637,moneyline,Minnesota Wild moneyline,away,ML,+154,44.79%,13.77%,21.24,2.00%,99,0.00%,"Auto model leans Minnesota Wild on win rate, venue split, and core team strength."
2026-04-13,401803639-spread-buffalo-sabres-1-5,NHL,Buffalo Sabres at Chicago Blackhawks,401803639,spread,Buffalo Sabres -1.5,away,-1.5,+124,48.94%,9.62%,18.43,1.73%,99,0.00%,Auto projected margin: -3.04 vs market +1.5.
2026-04-13,401814923-moneyline-chicago-cubs-moneyline,MLB,Chicago Cubs at Philadelphia Phillies,401814923,moneyline,Chicago Cubs moneyline,away,ML,+153,44.30%,12.08%,18.76,1.76%,78,0.00%,"Auto model leans Chicago Cubs on win rate, venue split, and core team strength."
2026-04-13,401814925-total-over-7-5,MLB,Washington Nationals at Pittsburgh Pirates,401814925,total,Over 7.5,over,O7.5,-102,53.55%,6.04%,14.64,1.38%,74,0.00%,Auto total projection: 9.62 vs market 7.5.
2026-04-13,401814926-moneyline-minnesota-twins-moneyline,MLB,Boston Red Sox at Minnesota Twins,401814926,moneyline,Minnesota Twins moneyline,home,ML,+139,44.67%,6.75%,11.55,1.09%,79,0.00%,"Auto model leans Minnesota Twins on win rate, venue split, and core team strength."
2026-04-14,401803649-spread-colorado-avalanche-1-5,NHL,Colorado Avalanche at Calgary Flames,401803649,spread,Colorado Avalanche -1.5,away,-1.5,+160,58.63%,52.44%,35.23,3.34%,98,0.00%,Auto projected margin: -3.92 vs market +1.5.
2026-04-14,401814938-moneyline-minnesota-twins-moneyline,MLB,Boston Red Sox at Minnesota Twins,401814938,moneyline,Minnesota Twins moneyline,home,ML,+113,60.64%,29.17%,35.23,3.34%,78,0.00%,"Auto model leans Minnesota Twins on win rate, venue split, and core team strength."
2026-04-14,401866754-total-over-216-5,NBA,Portland Trail Blazers at Phoenix Suns,401866754,total,Over 216.5,over,O216.5,-115,62.76%,17.33%,35.11,3.33%,100,0.00%,Auto total projection: 227.42 vs market 216.5.
